nom_complet,siren,siret,tranche_effectif_salarie,activite_principale,activite_principale_naf25,ancien_siege,annee_tranche_effectif_salarie,adresse,code_postal,commune,date_creation,date_debut_activite,date_fermeture,etat_administratif,latitude,longitude
BNP PARIBAS IMMOBILIER PROMOTION (BNP PI PROMOTION),441052735,,32,41.10A,68.12Y,False,441052735,,,,2002-02-22,,,A,,
BNP PARIBAS IMMOBILIER RESIDENCES SERVICES (BNPPI RS),378888796,,12,55.90Z,55.90Y,False,378888796,,,,1990-07-05,,,A,,
BNP PARIBAS IMMOBILIER RESIDENCES SERVICES (BNPPI RS),378888796,,12,68.32A,68.32H,False,378888796,,,,1990-07-05,,,A,,
BNP PARIBAS IMMOBILIER RESIDENCES SERVICES (BNPPI RS),378888796,,12,55.90Z,55.90Y,False,378888796,,,,1990-07-05,,,A,,
BNP PARIBAS IMMOBILIER RESIDENCES SERVICES (BNPPI RS),378888796,,12,55.90Z,55.90Y,False,378888796,,,,1990-07-05,,,A,,
BNP PARIBAS IMMOBILIER RESIDENCES SERVICES (BNPPI RS),378888796,,12,55.20Z,55.20Y,False,378888796,,,,1990-07-05,,,A,,
BNP PARIBAS IMMOBILIER RESIDENCES SERVICES (BNPPI RS),378888796,,12,55.90Z,55.90Y,False,378888796,,,,1990-07-05,,,A,,
BNP PARIBAS IMMOBILIER RESIDENCES SERVICES (BNPPI RS),378888796,,12,55.90Z,55.90Y,False,378888796,,,,1990-07-05,,,A,,
BNP PARIBAS IMMOBILIER RESIDENCES SERVICES (BNPPI RS),378888796,,12,55.20Z,55.20Y,False,378888796,,,,1990-07-05,,,A,,
BNP PARIBAS IMMOBILIER RESIDENCES SERVICES (BNPPI RS),378888796,,12,55.20Z,55.20Y,False,378888796,,,,1990-07-05,,,A,,
BNP PARIBAS IMMOBILIER RESIDENCES SERVICES (BNPPI RS),378888796,,12,55.90Z,55.90Y,False,378888796,,,,1990-07-05,,,A,,
BNP PARIBAS LEASE GROUP (BPLG),632017513,,42,65.2A,,False,632017513,,,,1963-01-01,,,A,,
BNP PARIBAS LEASE GROUP (BPLG),632017513,,42,65.2A,,False,632017513,,,,1963-01-01,,,A,,
BNP PARIBAS LEASE GROUP (BPLG),632017513,,42,65.2A,,False,632017513,,,,1963-01-01,,,A,,
BNP PARIBAS LEASE GROUP (BPLG),632017513,,42,65.1C,,False,632017513,,,,1963-01-01,,,A,,
BNP PARIBAS LEASE GROUP (BPLG),632017513,,42,65.2A,,False,632017513,,,,1963-01-01,,,A,,
BNP PARIBAS LEASE GROUP (BPLG),632017513,,42,65.2A,,False,632017513,,,,1963-01-01,,,A,,
BNP PARIBAS LEASE GROUP (BPLG),632017513,,42,65.2A,,False,632017513,,,,1963-01-01,,,A,,
BNP PARIBAS LEASE GROUP (BPLG),632017513,,42,65.1C,,False,632017513,,,,1963-01-01,,,A,,
BNP PARIBAS LEASE GROUP (BPLG),632017513,,42,65.2A,,False,632017513,,,,1963-01-01,,,A,,
BNP PARIBAS LEASE GROUP (BPLG),632017513,,42,65.2A,,False,632017513,,,,1963-01-01,,,A,,
BNP PARIBAS REAL ESTATE ADVISORY FRANCE (BNPPRE ADVISORY FRANCE),329570857,,32,68.31Z,68.31Y,False,329570857,,,,1984-01-01,,,A,,
BNP PARIBAS REAL ESTATE ADVISORY FRANCE (BNPPRE ADVISORY FRANCE),329570857,,32,68.31Z,68.31Y,False,329570857,,,,1984-01-01,,,A,,
BNP PARIBAS REAL ESTATE ADVISORY FRANCE (BNPPRE ADVISORY FRANCE),329570857,,32,68.31Z,68.31Y,False,329570857,,,,1984-01-01,,,A,,
BNP PARIBAS REAL ESTATE ADVISORY FRANCE (BNPPRE ADVISORY FRANCE),329570857,,32,68.31Z,68.31Y,False,329570857,,,,1984-01-01,,,A,,
BNP PARIBAS REAL ESTATE ADVISORY FRANCE (BNPPRE ADVISORY FRANCE),329570857,,32,68.31Z,68.31Y,False,329570857,,,,1984-01-01,,,A,,
BNP PARIBAS REAL ESTATE ADVISORY FRANCE (BNPPRE ADVISORY FRANCE),329570857,,32,68.31Z,68.31Y,False,329570857,,,,1984-01-01,,,A,,
BNP PARIBAS REAL ESTATE ADVISORY FRANCE (BNPPRE ADVISORY FRANCE),329570857,,32,68.31Z,68.31Y,False,329570857,,,,1984-01-01,,,A,,
BNP PARIBAS REAL ESTATE ADVISORY FRANCE (BNPPRE ADVISORY FRANCE),329570857,,32,68.31Z,68.31Y,False,329570857,,,,1984-01-01,,,A,,
BNP PARIBAS REAL ESTATE ADVISORY FRANCE (BNPPRE ADVISORY FRANCE),329570857,,32,68.31Z,68.31Y,False,329570857,,,,1984-01-01,,,A,,
