Company Name,Title,Description,Location,Started On,Finished On
TotalEnergies,Data Analyst,"Cette mission s'est déroulée sur 2 axes:  Premier axe : Refonte complète d'un dashboard Power BI de formation qui présentait des erreurs dûes à une implémentation hybride de code (R) et de visuels natifs. Les données de formation ne s'affichaient pas toujours, ou présentaient des biais dans la compréhension de la réalité.  Certains visuels étaient opérationnels mais peu optimisés pour l'analyse profonde et la prise de décisions.  En cause, des données métiers extraites avec un agencement peu exploitable, ce qui a engendré l'utilisation de code externe, et des temps de chargement des visuels parfois frustrants qui empêchaient la fluidité de la compréhension  Valeur apportée : Refonte complète de l'application Power BI à tous les niveaux: Création d'un modèle de base de données, optimisation du modèle et des relations entre tables, des étapes de requêtage réduites et élaguées, travail d'optimisation des requêtes. Discussion avec les utilisateurs finaux non techniques et étrangers aux sciences de données pour comprendre la visualisation voulue. A partir de ce besoin, j'ai remonté les contraintes logicielles pour les faire rejoindre le point de départ. La plus grosse partie du travail a été  la compréhension des données extraites, qui étaient à un niveau de granularité de ligne différent de celui demandé par les utilisateurs finaux, des changements de format et d'agencement anormaux dans les extractions.  Deuxième axe : Détection de patterns géologiques à partir de rapports  Cette mission a consisté en la rédaction d'un code qui part de fichiers PDF d'une cinquantaine de pages contenant des patterns et symboles manuscrits, et d'en extraire un tableau de données exploitable qui les résume en quelques lignes.  Valeur apportée : Reprise du code réalisé par une équipe de développement en tant que base. Puis j'ai utilisé des filtres et des méthodes OCR et des algorithmes de détection par labellisation (faite à la main) pour détecter ces patterns, puis analyse des résultats","Courbevoie, Île-de-France, France",Oct 2023,Sep 2024
SNCF Voyageurs,Data Analyst,"Cette mission a eu pour but la supervision d'un ensemble de dashboards Power BI (une dizaine). Étant au siège, l'objectif principal était d'offrir à des décisionnaires de centre d'appel en interne une vision claire de leurs résultats respectifs pour piloter leur activité.  Premier axe : Refonte d'un dashboard  Les données étaient extraites de manière artisanale par chacun des décisionnaires. Chacun avait sa propre définition de la réalité pour son propre pilotage. La mission a été de réaliser un tableau de bord à partir de données univoques et unanimes, de résoudre les nœuds de compréhension dûs aux croisement des points de vue, et de maintenir la solution avec pédagogie et réactivité.  Valeur apportée : J'ai participé à la mise à plat chacune des métriques (plus d'une vingtaine). Puis a suivi la refonte du projet.  Les problématiques d'optimisation des requêtes et des temps de chargement ont été allégées en explorant l'actualisation incrémentielle et en chargeant les data depuis le service directement, plutôt que de les charger en local puis du cloud à chaque utilisation. J'étais en charge de la distribution du rapport aux audiences et de la mise en place des différents niveaux de sécurité en fonction des données affichées. La compréhension des données et des besoins a été déterminante pour la réalisation du livrable. Le point d'orgue du projet a été d'ajouter une vision personnalisée à tous les collaborateurs de leur propre travail, de façon exclusive. La gouvernance des données et du RGPD était centrale.  Deuxième axe : Responsable d'un flux de données métiers  Cette partie consistait à créer, superviser et maintenir un système de suivi automatique des changements RH des collaborateurs. Ces changements doivent être tracés car ils se font au cours de l'année et peuvent remettre en question des droits et des rémunérations Encore une fois, la partie légale et RGPD était non négligeable.  Valeur apportée: Flux Power Automate avec intégration des données de formulaire","Puteaux, Île-de-France, France",Sep 2021,Sep 2023
Aeronautica Engineering,Business Developer,"Découverte du monde de l'entreprise :  Prospection de nouveaux clients, indexation d'offres, création d'une présentation de l'entreprise, communication avec des entreprises du secteur",France,Apr 2021,Jun 2021
